artista,tema,genero,popularidad,fuente,spotify_id,año,id,href,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
Bonnie Raitt,Prison Bound Blues,blues,15.0,Spotify,2AfGCrrPFjDOxqvfvj1eUp,2024.0,1e97a478-e031-417d-8b57-84b1df0fef16,https://open.spotify.com/track/2AfGCrrPFjDOxqvfvj1eUp,0.846,0.467,0.314,0.00199,2.0,0.326,-10.452,1.0,0.0336,79.332,0.456
Ruthie Foster,That's All Right,blues,27.0,Spotify,7rxwe1dNEpgCRyKyVj0XYX,2024.0,869f2848-b30e-40da-97e5-5469d21f8d8a,https://open.spotify.com/track/7rxwe1dNEpgCRyKyVj0XYX,0.376,0.716,0.629,0.0352,0.0,0.111,-6.622,1.0,0.0274,82.493,0.529
Cedric Burnside,Thank You - Audiotree Live Version,blues,10.0,Spotify,7iemjbUNwmPE9RLEMGprXX,2024.0,f9b90fca-e3da-4a0b-940d-b787a8cf31f5,https://open.spotify.com/track/7iemjbUNwmPE9RLEMGprXX,0.389,0.695,0.544,0.0297,7.0,0.0776,-8.49,1.0,0.0592,103.836,0.501
Half Blue,Stoke,blues,15.0,Spotify,0laviP8fAQ2UWZToTSslzD,2025.0,43b686bc-7089-41d7-9bb7-d375c4d0b3f1,https://open.spotify.com/track/0laviP8fAQ2UWZToTSslzD,0.645,0.8,0.274,0.105,11.0,0.119,-12.711,0.0,0.0569,68.06,0.379
Willie Dixon,I Just Wanna Make Love To You,blues,14.0,Spotify,3ZWEyP3AdxMtMq8rhgXUs3,2024.0,9677f5ef-8dea-41d6-a868-ad06246a42d7,https://open.spotify.com/track/3ZWEyP3AdxMtMq8rhgXUs3,0.172,0.683,0.666,0.000984,0.0,0.346,-7.585,1.0,0.049,116.603,0.833
Samantha Fish,I'm Done Runnin',blues,32.0,Spotify,19qNi1II1ih7b1Aq236oPh,2025.0,b16e2821-9cff-4ef8-b1dd-f7f95c17fe8b,https://open.spotify.com/track/19qNi1II1ih7b1Aq236oPh,0.0187,0.563,0.895,0.000258,0.0,0.379,-7.023,1.0,0.0375,99.851,0.545
Bad Temper Joe,Poor Black Mattie,blues,10.0,Spotify,2QM56K0upnt1FX27BWZDt8,2025.0,1d99be8a-1556-40fe-b84f-0e7589e9c0f8,https://open.spotify.com/track/2QM56K0upnt1FX27BWZDt8,0.818,0.563,0.438,0.000785,0.0,0.0766,-7.325,0.0,0.0274,109.323,0.518
Måns Molander,Honky Tonk Mama,blues,10.0,Spotify,5nDb0XbDYVLELzXv21Ys9c,2024.0,5a3fd818-775e-41f0-8c2d-206d945ee682,https://open.spotify.com/track/5nDb0XbDYVLELzXv21Ys9c,0.571,0.768,0.625,2.58e-06,9.0,0.294,-7.783,1.0,0.0301,122.021,0.905
Intergalactic C,Blues MAMA,blues,6.0,Spotify,11XmTl2pNsUc9kWi4tWn9V,2025.0,dd5f953d-8045-4364-a579-9a6b28b49444,https://open.spotify.com/track/11XmTl2pNsUc9kWi4tWn9V,0.0767,0.712,0.721,0.831,11.0,0.165,-10.142,0.0,0.085,93.99,0.333
Vincent Mason,Damned If I Do,country,73.0,Spotify,7mxctiYgZD9JtvEZBJWoAW,2025.0,f92da37d-3a30-4760-8405-89dc3efdc269,https://open.spotify.com/track/7mxctiYgZD9JtvEZBJWoAW,0.0416,0.604,0.689,0.000147,8.0,0.104,-4.486,0.0,0.0261,143.86,0.389
